batch 0: [3.592893600463867, 1.331139326095581, 4.095491886138916, 2.209751605987549, -1.368804931640625, 2.6931262016296387, -3.14068865776062, 1.2909753322601318]
batch 1: [6.770251274108887, 2.061784505844116, 7.489386081695557, 3.565992832183838, -2.6309165954589844, 5.071676254272461, -5.462594985961914, 2.9599339962005615]
batch 2: [2.0042147636413574, 0.9658166170120239, 2.398545026779175, 1.5316307544708252, -0.7377490997314453, 1.5038514137268066, -1.9797353744506836, 0.4564959406852722]
batch 3: [-2.761821746826172, -0.13015133142471313, -2.692296028137207, -0.502731442451477, 1.1554183959960938, -2.0639734268188477, 1.5031239986419678, -2.0469419956207275]
batch 4: [-0.37880346179008484, 0.4178326427936554, -0.1468755006790161, 0.5144496560096741, 0.20883464813232422, -0.28006094694137573, -0.2383056879043579, -0.79522305727005]
batch 5: [-1.967482328414917, 0.05250999331474304, -1.8438224792480469, -0.16367107629776, 0.8398904800415039, -1.4693357944488525, 0.9226474761962891, -1.6297023296356201]
batch 6: [3.592893600463867, 1.331139326095581, 4.095491886138916, 2.209751605987549, -1.368804931640625, 2.6931262016296387, -3.14068865776062, 1.2909753322601318]
batch 7: [0.41553595662117004, 0.6004939675331116, 0.7015979886054993, 0.8535100221633911, -0.10669327527284622, 0.31457650661468506, -0.8187822699546814, -0.3779833912849426]
batch 8: [1.2098753452301025, 0.7831553220748901, 1.5500714778900146, 1.192570447921753, -0.42222118377685547, 0.9092139601707458, -1.3992588520050049, 0.039256274700164795]
batch 9: [0.41553595662117004, 0.6004939675331116, 0.7015979886054993, 0.8535100221633911, -0.10669327527284622, 0.31457650661468506, -0.8187822699546814, -0.3779833912849426]
batch 10: [0.41553595662117004, 0.6004939675331116, 0.7015979886054993, 0.8535100221633911, -0.10669327527284622, 0.31457650661468506, -0.8187822699546814, -0.3779833912849426]
batch 11: [2.0042147636413574, 0.9658166170120239, 2.398545026779175, 1.5316307544708252, -0.7377490997314453, 1.5038514137268066, -1.9797353744506836, 0.4564959406852722]
batch 12: [3.592893600463867, 1.331139326095581, 4.095491886138916, 2.209751605987549, -1.368804931640625, 2.6931262016296387, -3.14068865776062, 1.2909753322601318]
batch 13: [2.0042147636413574, 0.9658166170120239, 2.398545026779175, 1.5316307544708252, -0.7377490997314453, 1.5038514137268066, -1.9797353744506836, 0.4564959406852722]
batch 14: [0.41553595662117004, 0.6004939675331116, 0.7015979886054993, 0.8535100221633911, -0.10669327527284622, 0.31457650661468506, -0.8187822699546814, -0.3779833912849426]
batch 15: [0.41553595662117004, 0.6004939675331116, 0.7015979886054993, 0.8535100221633911, -0.10669327527284622, 0.31457650661468506, -0.8187822699546814, -0.3779833912849426]
batch 16: [-1.967482328414917, 0.05250999331474304, -1.8438224792480469, -0.16367107629776, 0.8398904800415039, -1.4693357944488525, 0.9226474761962891, -1.6297023296356201]
batch 17: [1.2098753452301025, 0.7831553220748901, 1.5500714778900146, 1.192570447921753, -0.42222118377685547, 0.9092139601707458, -1.3992588520050049, 0.039256274700164795]
batch 18: [0.41553595662117004, 0.6004939675331116, 0.7015979886054993, 0.8535100221633911, -0.10669327527284622, 0.31457650661468506, -0.8187822699546814, -0.3779833912849426]
batch 19: [2.0042147636413574, 0.9658166170120239, 2.398545026779175, 1.5316307544708252, -0.7377490997314453, 1.5038514137268066, -1.9797353744506836, 0.4564959406852722]
batch 20: [-2.761821746826172, -0.13015133142471313, -2.692296028137207, -0.502731442451477, 1.1554183959960938, -2.0639734268188477, 1.5031239986419678, -2.0469419956207275]
batch 21: [0.41553595662117004, 0.6004939675331116, 0.7015979886054993, 0.8535100221633911, -0.10669327527284622, 0.31457650661468506, -0.8187822699546814, -0.3779833912849426]
batch 22: [-1.173142910003662, 0.23517131805419922, -0.9953489899635315, 0.17538928985595703, 0.5243625640869141, -0.8746984004974365, 0.3421708941459656, -1.2124626636505127]
batch 23: [0.41553595662117004, 0.6004939675331116, 0.7015979886054993, 0.8535100221633911, -0.10669327527284622, 0.31457650661468506, -0.8187822699546814, -0.3779833912849426]
batch 24: [6.770251274108887, 2.061784505844116, 7.489386081695557, 3.565992832183838, -2.6309165954589844, 5.071676254272461, -5.462594985961914, 2.9599339962005615]
batch 25: [2.7985541820526123, 1.1484779119491577, 3.247018337249756, 1.8706910610198975, -1.0532770156860352, 2.0984888076782227, -2.5602121353149414, 0.8737356066703796]
batch 26: [2.0042147636413574, 0.9658166170120239, 2.398545026779175, 1.5316307544708252, -0.7377490997314453, 1.5038514137268066, -1.9797353744506836, 0.4564959406852722]
batch 27: [1.2098753452301025, 0.7831553220748901, 1.5500714778900146, 1.192570447921753, -0.42222118377685547, 0.9092139601707458, -1.3992588520050049, 0.039256274700164795]
batch 28: [-1.173142910003662, 0.23517131805419922, -0.9953489899635315, 0.17538928985595703, 0.5243625640869141, -0.8746984004974365, 0.3421708941459656, -1.2124626636505127]
batch 29: [-1.173142910003662, 0.23517131805419922, -0.9953489899635315, 0.17538928985595703, 0.5243625640869141, -0.8746984004974365, 0.3421708941459656, -1.2124626636505127]
batch 30: [-0.37880346179008484, 0.4178326427936554, -0.1468755006790161, 0.5144496560096741, 0.20883464813232422, -0.28006094694137573, -0.2383056879043579, -0.79522305727005]
batch 31: [2.7985541820526123, 1.1484779119491577, 3.247018337249756, 1.8706910610198975, -1.0532770156860352, 2.0984888076782227, -2.5602121353149414, 0.8737356066703796]
