dropout,weight_decay,lr,best_val_loss
0.3,1e-06,0.001,0.6924201293931483
0.3,1e-06,0.005,0.6879386025071784
0.3,1e-06,0.01,0.6877727474613169
0.3,1e-06,0.0008,0.6917535512519062
0.3,1e-05,0.001,0.6924201293931483
0.3,1e-05,0.005,0.6879386025071784
0.3,1e-05,0.01,0.6877727474613169
0.3,1e-05,0.0008,0.6917535512519062
0.3,0.0001,0.001,0.6924201293931483
0.3,0.0001,0.005,0.6879386025071784
0.3,0.0001,0.01,0.6877727474613169
0.3,0.0001,0.0008,0.6917535512519062
0.3,0.001,0.001,0.6924201293931483
0.3,0.001,0.005,0.6879386025071784
0.3,0.001,0.01,0.6877727474613169
0.3,0.001,0.0008,0.6917535512519062
0.4,1e-06,0.001,0.6943580452052658
0.4,1e-06,0.005,0.6884327820241131
0.4,1e-06,0.01,0.6825166382095611
0.4,1e-06,0.0008,0.6958128099922976
0.4,1e-05,0.001,0.6943580452052658
0.4,1e-05,0.005,0.6884327820241131
0.4,1e-05,0.01,0.6825166382095611
0.4,1e-05,0.0008,0.6958128099922976
0.4,0.0001,0.001,0.6943580452052658
0.4,0.0001,0.005,0.6884327820241131
0.4,0.0001,0.01,0.6825166382095611
0.4,0.0001,0.0008,0.6958128099922976
0.4,0.001,0.001,0.6943580452052658
0.4,0.001,0.005,0.6884327820241131
0.4,0.001,0.01,0.6825166382095611
0.4,0.001,0.0008,0.6958128099922976
0.2,1e-06,0.001,0.6932568849893697
0.2,1e-06,0.005,0.687555366024679
0.2,1e-06,0.01,0.662906473292444
0.2,1e-06,0.0008,0.7090204840187868
0.2,1e-05,0.001,0.6932568849893697
0.2,1e-05,0.005,0.687555366024679
0.2,1e-05,0.01,0.662906473292444
0.2,1e-05,0.0008,0.7090204840187868
0.2,0.0001,0.001,0.6932568849893697
0.2,0.0001,0.005,0.687555366024679
0.2,0.0001,0.01,0.662906473292444
0.2,0.0001,0.0008,0.7090204840187868
0.2,0.001,0.001,0.6932568849893697
0.2,0.001,0.005,0.687555366024679
0.2,0.001,0.01,0.662906473292444
0.2,0.001,0.0008,0.7090204840187868
0.3,0.0001,0.003,0.5970537653581472
0.3,0.0001,0.003,0.5997585294788886
